[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] YFINANCE MISSING DATA POPULATION
[2026-06-14 20:18:38] Job ID:    917471b2
[2026-06-14 20:18:38] Start:     2026-06-14 20:18:38
[2026-06-14 20:18:38] Dry Run:   False
[2026-06-14 20:18:38] Test Mode: True (first 50 tickers only)
[2026-06-14 20:18:38] Force All: False (re-fetch all tickers)
[2026-06-14 20:18:38] =======================================================
[2026-06-14 20:18:38] PostgreSQL connection established.
[2026-06-14 20:18:38] Loading tickers with missing yfinance data...
[2026-06-14 20:18:38] [TEST MODE] Limited to first 50 tickers.
[2026-06-14 20:18:38] Found 50 tickers with missing yfinance data.
[2026-06-14 20:18:38] Checking for Questionable stocks due to missing market cap...
[2026-06-14 20:18:39]   Added 1180 Questionable tickers with missing market cap.
[2026-06-14 20:18:39] Total tickers to process: 1190
[2026-06-14 20:18:39] Starting yfinance fetch...
[2026-06-14 20:22:19]   [OK] BBCQW — price: 2.13, mktcap: N/A
[2026-06-14 20:22:21]   [NO PRICE] yfinance has no price data for BCAEF
[2026-06-14 20:22:23]   [OK] BCARU — price: 12.0, mktcap: 463,079,648
[2026-06-14 20:22:24]   [OK] BCARW — price: 1.85, mktcap: N/A
[2026-06-14 20:22:26]   [OK] BCEFF — price: 15.4, mktcap: 59,487,895,552
[2026-06-14 20:22:28]   [OK] BCEIF — price: 21.24, mktcap: N/A
[2026-06-14 20:22:29]   [NO PRICE] yfinance has no price data for BCENF
[2026-06-14 20:22:31]   [OK] BCEPF — price: 15.2, mktcap: 59,301,392,384
[2026-06-14 20:22:33]   [OK] BCEXF — price: 10.0, mktcap: 54,452,256,768
[2026-06-14 20:22:35]   [OK] BCGWW — price: 0.1531, mktcap: N/A
[2026-06-14 20:22:36]   [OK] BCHG — price: 1.53, mktcap: 48,616,668
[2026-06-14 20:22:38]   [OK] BCPPF — price: 11.0, mktcap: 55,384,784,896
[2026-06-14 20:22:40]   [OK] BDCIU — price: 10.18, mktcap: 352,272,736
[2026-06-14 20:22:42]   [OK] BDCIW — price: 0.41, mktcap: N/A
[2026-06-14 20:22:43]   [OK] BDCX — price: 20.2963, mktcap: N/A
[2026-06-14 20:22:45]   [OK] BDCZ — price: 15.0543, mktcap: N/A
[2026-06-14 20:22:47]   [NO PRICE] yfinance has no price data for BDDD
[2026-06-14 20:22:49]   [OK] BDMDW — price: 0.0452, mktcap: N/A
[2026-06-14 20:22:50]   [OK] BDRY — price: 12.32, mktcap: N/A
[2026-06-14 20:22:52]   [OK] BDTB — price: 0.2, mktcap: N/A
[2026-06-14 20:22:54]   [OK] BEAGR — price: 0.42, mktcap: N/A
[2026-06-14 20:22:56]   [OK] BEAGU — price: 10.91, mktcap: 341,700,992
[2026-06-14 20:22:57]   [OK] BECEF — price: 15.107, mktcap: 59,214,667,776
[2026-06-14 20:22:59]   [OK] BENFW — price: 0.0105, mktcap: N/A
[2026-06-14 20:23:01]   [OK] BEPH — price: 14.88, mktcap: N/A
[2026-06-14 20:23:02]   [OK] BEPI — price: 15.48, mktcap: N/A
[2026-06-14 20:23:02]   Batch 3 complete. Pausing 3.0s...
[2026-06-14 20:23:05]   Batch 4/24 (50 tickers)...
[2026-06-14 20:23:07]   [OK] BEPJ — price: 25.27, mktcap: N/A
[2026-06-14 20:23:09]   [OK] BERZ — price: 24.17, mktcap: N/A
[2026-06-14 20:23:10]   [OK] BFRIW — price: 0.027, mktcap: N/A
[2026-06-14 20:23:12]   [NO PRICE] yfinance has no price data for BGFR
[2026-06-14 20:23:14]   [OK] BGLWW — price: 0.1425, mktcap: N/A
[2026-06-14 20:23:16]   [OK] BHAVR — price: 0.25, mktcap: N/A
[2026-06-14 20:23:17]   [OK] BHAVU — price: 10.14, mktcap: 141,362,672
[2026-06-14 20:23:19]   [NO PRICE] yfinance has no price data for BID
[2026-06-14 20:23:21]   [OK] BIDWU — price: 9.9762, mktcap: N/A
[2026-06-14 20:23:22]   [OK] BIPH — price: 16.33, mktcap: N/A
[2026-06-14 20:23:24]   [OK] BIPI — price: 16.36, mktcap: N/A
[2026-06-14 20:23:26]   [OK] BIPJ — price: 25.05, mktcap: N/A
[2026-06-14 20:23:28]   [OK] BITB — price: 34.52, mktcap: N/A
[2026-06-14 20:23:29]   [OK] BITW — price: 40.32, mktcap: N/A
[2026-06-14 20:23:31]   [OK] BIXIU — price: 10.09, mktcap: 304,724,544
[2026-06-14 20:23:33]   [OK] BIXIW — price: 0.275, mktcap: N/A
[2026-06-14 20:23:34]   [OK] BKAMF — price: 14.3349, mktcap: 407,400,382,464
[2026-06-14 20:23:36]   [OK] BKFAF — price: 8.0, mktcap: N/A
[2026-06-14 20:23:38]   [OK] BKFOF — price: 17.97, mktcap: 415,519,703,040
[2026-06-14 20:23:40]   [OK] BKFPF — price: 11.3446, mktcap: 400,721,248,256
[2026-06-14 20:23:41]   [OK] BKHAR — price: 1.48, mktcap: 2,042,400
[2026-06-14 20:23:43]   [OK] BKHAU — price: 13.75, mktcap: 58,946,632
[2026-06-14 20:23:45]   [NO PRICE] yfinance has no price data for BKPA
[2026-06-14 20:23:46]   [NO PRICE] yfinance has no price data for BLDC
[2026-06-14 20:23:48]   [OK] BLRKU — price: 10.09, mktcap: 231,572,352
[2026-06-14 20:23:50]   [OK] BLRKW — price: 0.34, mktcap: N/A
[2026-06-14 20:23:52]   [NO PRICE] yfinance has no price data for BLTG
[2026-06-14 20:23:53]   [OK] BLUWU — price: 10.54, mktcap: N/A
[2026-06-14 20:23:55]   [OK] BLUWW — price: 0.4193, mktcap: N/A
[2026-06-14 20:23:57]   [OK] BLZRU — price: 10.21, mktcap: 351,157,504
[2026-06-14 20:23:58]   [OK] BLZRW — price: 0.5298, mktcap: N/A
[2026-06-14 20:24:00]   [OK] BNH — price: 15.5, mktcap: N/A
[2026-06-14 20:24:02]   [OK] BNJ — price: 15.21, mktcap: N/A
[2026-06-14 20:24:03]   [OK] BNKD — price: 34.0371, mktcap: N/A
[2026-06-14 20:24:05]   [OK] BNKU — price: 38.9276, mktcap: N/A
[2026-06-14 20:24:07]   [OK] BOT — price: 35.39, mktcap: 717,502,805
[2026-06-14 20:24:09]   [OK] BPACR — price: 0.1602, mktcap: N/A
[2026-06-14 20:24:10]   [OK] BPACU — price: 10.24, mktcap: N/A
[2026-06-14 20:24:12]   [NO PRICE] yfinance has no price data for BPPFF
[2026-06-14 20:24:14]   [OK] BPRE — price: 14.75, mktcap: N/A
[2026-06-14 20:24:16]   [OK] BPYPM — price: 16.66, mktcap: N/A
[2026-06-14 20:24:17]   [OK] BPYPN — price: 13.95, mktcap: 91,707,424,768
[2026-06-14 20:24:19]   [OK] BPYPO — price: 15.11, mktcap: 92,194,242,560
[2026-06-14 20:24:21]   [OK] BPYPP — price: 15.472, mktcap: 92,346,163,200
[2026-06-14 20:24:22]   [NO PRICE] yfinance has no price data for BRBF
[2026-06-14 20:24:24]   [OK] BRCFF — price: 17.0, mktcap: 413,353,115,648
[2026-06-14 20:24:26]   [OK] BREZ — price: 9.92, mktcap: 175,478,768
[2026-06-14 20:24:28]   [OK] BREZR — price: 0.25, mktcap: N/A
[2026-06-14 20:24:29]   [OK] BREZU — price: 10.11, mktcap: N/A
[2026-06-14 20:24:31]   [OK] BRFAF — price: 25.42, mktcap: N/A
[2026-06-14 20:24:31]   Batch 4 complete. Pausing 3.0s...
[2026-06-14 20:24:34]   Batch 5/24 (50 tickers)...
[2026-06-14 20:24:36]   [NO PRICE] yfinance has no price data for BRFCF
[2026-06-14 20:24:38]   [OK] BRIPF — price: 17.8493, mktcap: 103,926,964,224
[2026-06-14 20:24:39]   [OK] BRKHU — price: 10.0, mktcap: N/A
[2026-06-14 20:24:41]   [OK] BRKRP — price: 401.31, mktcap: 62,714,966,016
[2026-06-14 20:24:43]   [OK] BRLSW — price: 0.0547, mktcap: N/A
[2026-06-14 20:24:44]   [OK] BRPSF — price: 12.98, mktcap: 418,624,405,504
[2026-06-14 20:24:46]   [OK] BRRR — price: 17.93, mktcap: N/A
[2026-06-14 20:24:48]   [OK] BRRWW — price: 0.2798, mktcap: N/A
[2026-06-14 20:24:50]   [OK] BRUNW — price: 19.39, mktcap: N/A
[2026-06-14 20:24:51]   [OK] BSAAR — price: 0.177, mktcap: N/A
[2026-06-14 20:24:53]   [OK] BSAAU — price: 14.0, mktcap: 102,421,360
[2026-06-14 20:24:55]   [OK] BSOL — price: 9.05, mktcap: N/A
[2026-06-14 20:24:56]   [NO PRICE] yfinance has no price data for BSP
[2026-06-14 20:24:58]   [NO PRICE] yfinance has no price data for BSTR
[2026-06-14 20:25:00]   [OK] BTC — price: 28.13, mktcap: N/A
[2026-06-14 20:25:01]   [OK] BTCO — price: 63.25, mktcap: N/A
